Sample_name	tissue	cellType	sortingMarkers
preT.DN1.Th_rep2	Thymus	ab_T_cells	Lin-(CD4,CD8,CD11b,CD11c,CD19,TCRb,TCRgd,NK1.1,Gr1,Ter119)CD44hiCD117hiCD25-/lo
preT.DN2a.Th_rep2	Thymus	ab_T_cells	Lin-(CD4,CD8,CD11b,CD11c,CD19,TCRb,TCRgd,NK1.1,Gr1,Ter119)CD44hiCD117hiCD25hi
preT.DN2b.Th_rep1	Thymus	ab_T_cells	Lin-(CD4,CD8,CD11b,CD11c,CD19,TCRb,TCRgd,NK1.1,Gr1,Ter119)CD44hiCD117intCD25hi
preT.DN2b.Th_rep2	Thymus	ab_T_cells	Lin-(CD4,CD8,CD11b,CD11c,CD19,TCRb,TCRgd,NK1.1,Gr1,Ter119)CD44hiCD117intCD25hi
preT.DN3.Th_rep1	Thymus	ab_T_cells	Lin-(CD4,CD8,CD11b,CD11c,CD19,TCRb,TCRgd,NK1.1,Gr1,Ter119)CD44-CD25hi
preT.DN3.Th_rep2	Thymus	ab_T_cells	Lin-(CD4,CD8,CD11b,CD11c,CD19,TCRb,TCRgd,NK1.1,Gr1,Ter119)CD44-CD25hi
proB.CLP.BM_rep1	Bone_Marrow	B_cells	LIN-CD93+CD117+IL7Ra+CD45R-
proB.CLP.BM_rep2	Bone_Marrow	B_cells	LIN-CD93+CD117+IL7Ra+CD45R-
proB.FrA.BM_rep1	Bone_Marrow	B_cells	LIN-CD93+CD117+IL7Ra+CD45R+
proB.FrA.BM_rep2	Bone_Marrow	B_cells	LIN-CD93+CD117+IL7Ra+CD45R+
proB.FrBC.BM_rep1	Bone_Marrow	B_cells	CD93+IgM-CD19+CD43+HSA+
proB.FrBC.BM_rep2	Bone_Marrow	B_cells	CD93+IgM-CD19+CD43+HSA+
STHSC.150neg.BM_rep1	Bone_Marrow	Stem_Cells	Lin-Sca1+ckit+CD135-CD150-CD48-
STHSC.150neg.BM_rep2	Bone_Marrow	Stem_Cells	Lin-Sca1+ckit+CD135-CD150-CD48-
T.4.Nve.Fem.Sp_rep1	Spleen	ab_T_cells	CD4+CD8-TCRbhiCD62LhiCD44loCD25-Dump-
T.4.Nve.Fem.Sp_rep2	Spleen	ab_T_cells	CD4+CD8-TCRbhiCD62LhiCD44loCD25-Dump-
T.4.Nve.Sp_rep1	Spleen	ab_T_cells	CD4+CD8-TCRbhiCD62LhiCD44loCD25-Dump-
T.4.Nve.Sp_rep2	Spleen	ab_T_cells	CD4+CD8-TCRbhiCD62LhiCD44loCD25-Dump-
T.4.Sp.aCD3posCD40.18hr_rep1	Spleen	ab_T_cells	CD4+CD8-TCRbhi-Dump-
T.4.Sp.aCD3posCD40.18hr_rep2	Spleen	ab_T_cells	CD4+CD8-TCRbhi-Dump-
T.4.Th_rep1	Thymus	ab_T_cells	CD4+CD8-TCRbhiCD24int-Dump-
T.4.Th_rep2	Thymus	ab_T_cells	CD4+CD8-TCRbhiCD24int-Dump-
T.8.Nve.Sp_rep1	Spleen	ab_T_cells	CD4+CD8-TCRbhiCD62LhiCD44loDump-
T.8.Nve.Sp_rep2	Spleen	ab_T_cells	CD4+CD8-TCRbhiCD62LhiCD44loDump-
T.8.Th_rep1	Thymus	ab_T_cells	CD4-CD8+TCRbhiCD24int-Dump-
T.8.Th_rep2	Thymus	ab_T_cells	CD4-CD8+TCRbhiCD24int-Dump-
T.DN4.Th_rep1	Thymus	ab_T_cells	Lin-(CD4,CD8,CD11b,CD11c,CD19,TCRb,TCRgd,NK1.1,Gr1,Ter119)CD44-CD25-CD28+
T.DN4.Th_rep2	Thymus	ab_T_cells	Lin-(CD4,CD8,CD11b,CD11c,CD19,TCRb,TCRgd,NK1.1,Gr1,Ter119)CD44-CD25-CD28+
T.DP.Th_rep1	Thymus	ab_T_cells	SSCsmallCD4+CD8+TCRbloCD69-Dump-
T.DP.Th_rep2	Thymus	ab_T_cells	SSCsmallCD4+CD8+TCRbloCD69-Dump-
T.ISP.Th_rep1	Thymus	ab_T_cells	CD4-CD8+TCR-/loCD24hi
T.ISP.Th_rep2	Thymus	ab_T_cells	CD4-CD8+TCR-/loCD24hi
T8.IEL.LCMV.d7.Gut_rep1	Gut	ab_T_cells	CD8+CD45.1+CD4-MHCII-B220-Gr1-
T8.IEL.LCMV.d7.Gut_rep2	Gut	ab_T_cells	CD8+CD45.1+CD4-MHCII-B220-Gr1-
T8.MP.LCMV.d7.Sp_rep1	Spleen	ab_T_cells	CD8+KLRG1-CD127+CD45.1+CD4-MHCII-B220-Gr1-Ter119-
T8.MP.LCMV.d7.Sp_rep2	Spleen	ab_T_cells	CD8+KLRG1-CD127+CD45.1+CD4-MHCII-B220-Gr1-Ter119-
T8.Tcm.LCMV.d180.Sp_rep1	Spleen	ab_T_cells	CD8+CD44+CD62L+CD45.1+CD4-MHCII-B220-Gr1-Ter119-
T8.Tcm.LCMV.d180.Sp_rep2	Spleen	ab_T_cells	CD8+CD44+CD62L+CD45.1+CD4-MHCII-B220-Gr1-Ter119-
T8.TE.LCMV.d7.Sp_rep1	Spleen	ab_T_cells	CD4+CD8-TCRbhiCD62LhiCD44loDump-
T8.TE.LCMV.d7.Sp_rep2	Spleen	ab_T_cells	CD4+CD8-TCRbhiCD62LhiCD44loDump-
T8.Tem.LCMV.d180.Sp_rep2	Spleen	ab_T_cells	CD8+KLRG1+CD127-CD45.1+CD4-MHCII-B220-Gr1-Ter119-
T8.TN.P14.Sp_rep1	Spleen	ab_T_cells	CD8+CD44-CD4-MHCII-B220-Gr1-Ter119-
T8.TN.P14.Sp_rep2	Spleen	ab_T_cells	CD8+CD44-CD4-MHCII-B220-Gr1-Ter119-
Tgd.g1.1posd1.24apos.Th_rep1	Thymus	gd_T_cells	TCRvg1.1+TCRd+CD24hiScart2-CD4-CD8-
Tgd.g1.1posd1.24apos.Th_rep2	Thymus	gd_T_cells	TCRvg1.1+TCRd+CD24hiScart2-CD4-CD8-
Tgd.g1.1posd1.LN_rep1	Lymph_Node	gd_T_cells	TCRvg1.1+TCRd+CD24-CD27+CD4-CD8-
Tgd.g1.1posd1.LN_rep2	Lymph_Node	gd_T_cells	TCRvg1.1+TCRd+CD24-CD27+CD4-CD8-
Tgd.g2posd1.24apos.Th_rep1	Thymus	gd_T_cells	TCRvg2+TCRd+CD24hiScart2-CD4-CD8-
Tgd.g2posd1.24apos.Th_rep2	Thymus	gd_T_cells	TCRvg2+TCRd+CD24hiScart2-CD4-CD8-
Tgd.g2posd1.LN_rep1	Lymph_Node	gd_T_cells	TCRvg2+TCRd+CD24-CD27+CD4-CD8-
Tgd.g2posd1.LN_rep2	Lymph_Node	gd_T_cells	TCRvg2+TCRd+CD24-CD27+CD4-CD8-
Tgd.g2posd17.24apos.Th_rep2	Thymus	gd_T_cells	TCRvg2+TCRd+CD24hiScart2+CD4-CD8-
Tgd.g2posd17.LN_rep1	Lymph_Node	gd_T_cells	TCRvg2+TCRd+CD24-CD27-CD4-CD8-
Tgd.g2posd17.LN_rep2	Lymph_Node	gd_T_cells	TCRvg2+TCRd+CD24-CD27-CD4-CD8-
Tgd.Sp_rep3	Spleen	gd_T_cells	TCRd+CD3+CD24-CD4-CD8-
Tgd.Sp_rep4	Spleen	gd_T_cells	TCRd+CD3+CD24-CD4-CD8-
Treg.4.25hi.Sp_rep1	Spleen	ab_T_cells	CD4+CD8-TCRbhiCD62LhiCD44loCD25hiDump-
Treg.4.25hi.Sp_rep2	Spleen	ab_T_cells	CD4+CD8-TCRbhiCD62LhiCD44loCD25hiDump-
Treg.4.FP3pos.Nrplo.Co_rep1	Colon	ab_T_cells	Foxp3+CD4+TCRb+NrploDump
Treg.4.FP3pos.Nrplo.Co_rep2	Colon	ab_T_cells	Foxp3+CD4+TCRb+NrploDump
